onset	duration	EV	action	clicked_on_loss_card	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	worker_id
259.006	8.894	-2.3957121656718434	end_round	0.0	columbia_card_task_fmri	1.0	0.875	71.0	-45.0	0.125	16.0	9.0	1.0	-16.666975330405705	8.894	8.0	stim	s610
267.903	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s610
270.153	0.136	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s610
270.291	2.175	1.4167878343281566	draw_card	0.0	columbia_card_task_fmri	15.0	0.8125	89.0	-70.0	0.1875	16.0	1.0	3.0	1.1988443041799286	2.175	n/a	stim	s610
272.468	1.551	0.3542878343281566	draw_card	0.0	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	16.0	2.0	3.0	2.0202767743972245	1.551	n/a	stim	s610
274.02	0.828	-0.8599978799575587	draw_card	0.0	columbia_card_task_fmri	15.0	0.7857142857142857	89.0	-70.0	0.2142857142857142	16.0	3.0	3.0	2.895934514939718	0.828	n/a	stim	s610
274.851	0.789	-2.26109678105646	draw_card	0.0	columbia_card_task_fmri	15.0	0.7692307692307692	89.0	-70.0	0.2307692307692307	16.0	4.0	3.0	3.82879401873636	0.789	n/a	stim	s610
275.641	2.395	-3.8957121656718434	draw_card	0.0	columbia_card_task_fmri	15.0	0.75	89.0	-70.0	0.25	16.0	5.0	3.0	4.820162767709981	2.395	n/a	stim	s610
278.038	4.281	-5.827530347490024	end_round	0.0	columbia_card_task_fmri	15.0	0.7272727272727273	71.0	-70.0	0.2727272727272727	16.0	6.0	3.0	5.86775207777422	4.281	5.0	stim	s610
282.322	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s610
284.572	0.34	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s610
284.913	4.223	8.354287834328156	draw_card	0.0	columbia_card_task_fmri	30.0	0.7	89.0	-50.0	0.3	10.0	1.0	3.0	4.67498653197795	4.223	n/a	stim	s610
289.138	11.257	5.687621167661495	draw_card	0.0	columbia_card_task_fmri	30.0	0.6666666666666667	89.0	-50.0	0.3333333333333333	10.0	2.0	3.0	5.724640711506581	11.257	n/a	stim	s610
300.397	7.921	2.3542878343281566	draw_card	0.0	columbia_card_task_fmri	30.0	0.625	89.0	-50.0	0.375	10.0	3.0	3.0	6.74018743399143	7.921	n/a	stim	s610
308.321	4.866	-1.931426451386128	end_round	0.0	columbia_card_task_fmri	30.0	0.5714285714285714	71.0	-50.0	0.4285714285714285	10.0	4.0	3.0	7.5985367122998895	4.866	3.0	stim	s610
313.19	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s610
315.44	0.068	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s610
315.509	1.949	7.7542878343281565	draw_card	0.0	columbia_card_task_fmri	17.0	0.8666666666666667	89.0	-70.0	0.1333333333333333	15.0	1.0	2.0	-2.393262914831979	1.949	n/a	stim	s610
317.459	1.078	6.925716405756729	draw_card	0.0	columbia_card_task_fmri	17.0	0.8571428571428572	89.0	-70.0	0.1428571428571428	15.0	2.0	2.0	-1.526581466218051	1.078	n/a	stim	s610
318.54	0.544	5.969672449712771	draw_card	0.0	columbia_card_task_fmri	17.0	0.8461538461538461	89.0	-70.0	0.1538461538461538	15.0	3.0	2.0	-0.5832659288067816	0.544	n/a	stim	s610
319.085	1.32	4.854287834328158	draw_card	0.0	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	15.0	4.0	2.0	0.4472120897174463	1.32	n/a	stim	s610
320.408	4.53	3.5361060161463365	draw_card	0.0	columbia_card_task_fmri	17.0	0.8181818181818181	89.0	-70.0	0.1818181818181818	15.0	5.0	2.0	1.576783652021966	4.53	n/a	stim	s610
324.939	1.417	1.954287834328158	draw_card	1.0	columbia_card_task_fmri	17.0	0.8	89.0	-70.0	0.2	15.0	6.0	2.0	2.818409543137861	1.417	6.0	stim	s610
326.361	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s610
328.611	0.34	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s610
328.952	3.589	2.9792878343281566	draw_card	0.0	columbia_card_task_fmri	7.0	0.9375	89.0	-95.0	0.0625	16.0	1.0	1.0	-7.258876732782248	3.589	n/a	stim	s610
332.544	0.653	2.5542878343281568	draw_card	0.0	columbia_card_task_fmri	7.0	0.9333333333333332	89.0	-95.0	0.0666666666666666	16.0	2.0	1.0	-6.509175403618261	0.653	n/a	stim	s610
333.199	1.149	2.068573548613871	draw_card	0.0	columbia_card_task_fmri	7.0	0.9285714285714286	89.0	-95.0	0.0714285714285714	16.0	3.0	1.0	-5.686831925315264	1.149	n/a	stim	s610
334.349	0.648	1.50813398817431	draw_card	0.0	columbia_card_task_fmri	7.0	0.9230769230769232	89.0	-95.0	0.0769230769230769	16.0	4.0	1.0	-4.779489170254156	0.648	n/a	stim	s610
335.0	0.864	0.8542878343281566	draw_card	0.0	columbia_card_task_fmri	7.0	0.9166666666666666	89.0	-95.0	0.0833333333333333	16.0	5.0	1.0	-3.771691106778608	0.864	n/a	stim	s610
335.866	0.973	0.0815605616008832	draw_card	0.0	columbia_card_task_fmri	7.0	0.9090909090909092	89.0	-95.0	0.0909090909090909	16.0	6.0	1.0	-2.6438383002789223	0.973	n/a	stim	s610
336.84	1.266	-0.8457121656718436	draw_card	0.0	columbia_card_task_fmri	7.0	0.9	89.0	-95.0	0.1	16.0	7.0	1.0	-1.3707027322456184	1.266	n/a	stim	s610
338.108	6.568	-1.9790454990051771	draw_card	0.0	columbia_card_task_fmri	7.0	0.8888888888888888	89.0	-95.0	0.1111111111111111	16.0	8.0	1.0	0.0807097902413787	6.568	n/a	stim	s610
344.679	0.816	-3.3957121656718434	draw_card	0.0	columbia_card_task_fmri	7.0	0.875	89.0	-95.0	0.125	16.0	9.0	1.0	1.7542480211798264	0.816	n/a	stim	s610
345.497	6.319	-5.217140737100415	end_round	0.0	columbia_card_task_fmri	7.0	0.8571428571428572	71.0	-95.0	0.1428571428571428	16.0	10.0	1.0	3.7089895468222736	6.319	9.0	stim	s610
351.823	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s610
354.073	0.136	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s610
354.212	2.387	4.541787834328156	draw_card	0.0	columbia_card_task_fmri	9.0	0.9375	89.0	-100.0	0.0625	16.0	1.0	1.0	-5.5716091116178745	2.387	n/a	stim	s610
356.601	0.697	4.08762116766149	draw_card	0.0	columbia_card_task_fmri	9.0	0.9333333333333332	89.0	-100.0	0.0666666666666666	16.0	2.0	1.0	-4.770021807975745	0.697	n/a	stim	s610
357.299	0.722	3.568573548613872	draw_card	0.0	columbia_card_task_fmri	9.0	0.9285714285714286	89.0	-100.0	0.0714285714285714	16.0	3.0	1.0	-3.8907933950261295	0.722	n/a	stim	s610
358.024	1.128	2.9696724497127724	draw_card	0.0	columbia_card_task_fmri	9.0	0.9230769230769232	89.0	-100.0	0.0769230769230769	16.0	4.0	1.0	-2.920717424106769	1.128	n/a	stim	s610
359.153	1.475	2.2709545009948244	draw_card	0.0	columbia_card_task_fmri	9.0	0.9166666666666666	89.0	-100.0	0.0833333333333333	16.0	5.0	1.0	-1.8432756737310072	1.475	n/a	stim	s610
