onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
272.598	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
273.106728	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.514	stim	s643
275.213	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
275.72459200000003	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.528	stim	s643
277.831	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
278.342	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.545	stim	s643
280.448	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
280.959864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.573	stim	s643
283.066	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
283.572864	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.723	stim	s643
285.678	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
286.189	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.63	stim	s643
288.295	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
288.807592	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.753	stim	s643
290.914	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
291.424456	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.691	stim	s643
293.531	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
294.042864	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.6	stim	s643
296.149	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
296.660864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.596	stim	s643
298.767	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
299.279	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	1.029	stim	s643
301.385	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
301.895	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.706	stim	s643
304.0	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
304.512864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.775	stim	s643
306.617	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
307.126	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.624	stim	s643
309.232	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
309.743864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.621	stim	s643
311.85	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
312.362	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.667	stim	s643
314.468	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
314.979592	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.739	stim	s643
317.085	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
317.592	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.615	stim	s643
319.697	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
320.208184	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.59	stim	s643
322.315	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
322.82632	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.857	stim	s643
324.933	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
325.444	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.811	stim	s643
327.55	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
328.061864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.692	stim	s643
330.168	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
330.679864	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.907	stim	s643
332.786	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
333.297864	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.81	stim	s643
335.404	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
335.916	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.588	stim	s643
338.022	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
338.533864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.611	stim	s643
340.639	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
341.150048	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.638	stim	s643
343.257	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
343.769864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.633	stim	s643
345.874	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
346.386592	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.624	stim	s643
