onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
321.337	0.85	0.1	71.0	motor_selective_stop_signal	89.0	0.285	89.0	False	noncrit_nosignal	s604
323.893	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.479	89.0	False	noncrit_nosignal	s604
326.348	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.348	89.0	False	crit_go	s604
329.001	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.412	89.0	False	crit_stop_failure	s604
331.256	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.461	89.0	False	noncrit_signal	s604
333.912	0.85	0.05	89.0	motor_selective_stop_signal	71.0	0.48	89.0	False	crit_go	s604
336.268	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.478	89.0	False	crit_go	s604
338.521	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.491	89.0	False	noncrit_nosignal	s604
340.773	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.339	89.0	False	crit_go	s604
343.027	0.85	0.05	71.0	motor_selective_stop_signal	89.0	0.316	89.0	False	noncrit_nosignal	s604
345.379	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.537	89.0	False	noncrit_signal	s604
347.935	0.85	0.05	89.0	motor_selective_stop_signal	89.0	0.504	89.0	False	crit_go	s604
350.289	0.85	0.05	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
352.744	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.42	89.0	False	noncrit_nosignal	s604
355.201	0.85	0.1	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
357.555	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.48	89.0	False	noncrit_signal	s604
359.809	0.85	0.15	89.0	motor_selective_stop_signal	71.0	0.335	89.0	False	crit_go	s604
362.365	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.583	89.0	False	noncrit_nosignal	s604
364.922	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.791	89.0	False	noncrit_signal	s604
367.176	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.708	89.0	False	noncrit_nosignal	s604
369.431	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
371.887	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.713	89.0	False	crit_go	s604
374.239	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.761	89.0	False	crit_go	s604
376.495	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.874	89.0	False	noncrit_nosignal	s604
379.647	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.547	89.0	False	crit_go	s604
382.303	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.687	89.0	False	noncrit_signal	s604
384.559	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.733	89.0	False	crit_stop_failure	s604
397.536	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.512	89.0	False	noncrit_signal	s604
400.392	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.426	89.0	False	noncrit_nosignal	s604
402.846	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.41	89.0	False	noncrit_nosignal	s604
405.102	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.499	89.0	False	crit_go	s604
407.357	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.552	89.0	False	noncrit_signal	s604
409.909	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
412.165	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.846	89.0	False	crit_go	s604
414.521	0.85	0.2	89.0	motor_selective_stop_signal	71.0	0.374	89.0	False	crit_stop_failure	s604
416.873	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.593	89.0	False	crit_go	s604
419.125	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.374	89.0	False	noncrit_signal	s604
421.477	0.85	0.15	89.0	motor_selective_stop_signal	71.0	0.351	89.0	False	crit_go	s604
423.732	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.564	89.0	False	crit_go	s604
426.183	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.396	89.0	False	noncrit_nosignal	s604
428.439	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.448	89.0	False	noncrit_nosignal	s604
430.796	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.385	89.0	False	noncrit_signal	s604
433.247	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.52	89.0	False	crit_stop_failure	s604
